"""2023-11-19T07:56:36.922231+0200 "	 1:2013504:6 	 ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management 	 Not Suspicious Traffic 	" 000.000.000.185:40440 -> 151.101.246.132:80"""
"""2023-11-21T16:37:08.138477+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53845 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:08.157216+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:08.157230+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:08.201688+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:09.070360+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:09.926888+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:09.939719+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:37:09.954096+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:31.352719+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:31.355798+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:31.425330+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:33.370424+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:33.414705+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53840 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:33.410790+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:33.421844+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:33.410797+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:38:34.669102+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:25.582274+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:25.605638+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:25.613937+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53840 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:25.613944+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53845 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:25.613949+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:25.614131+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:25.677112+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:26.986201+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:31.874377+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:31.904309+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:31.940155+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:31.940161+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.006635+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.014722+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.021536+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.029216+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.034553+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53845 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.049807+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53840 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.049813+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53846 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.060274+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.068308+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.068316+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.106653+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:32.108048+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:34.761317+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:34.812178+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:34.827921+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53836 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:34.849067+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53835 -> 000.000.000.185:9000"""
"""2023-11-21T16:39:34.852710+0200 "	 1:2221034:1 	 SURICATA HTTP Request unrecognized authorization method 	 Generic Protocol Command Decode 	" 000.000.000.148:53838 -> 000.000.000.185:9000"""
"""2023-11-21T21:44:18.279362+0200 "	 1:2210054:1 	 SURICATA STREAM excessive retransmissions 	 Generic Protocol Command Decode 	" 000.000.000.185:3389 -> 000.000.000.148:58043"""
